diff --dolt a/writings b/writings
--- a/writings
+++ b/writings
+---+-----------------+--------------------------------------+
|   | phelps          | version                              |
| > | ABU0070GAT      | 22ac4a1a-c27b-4002-978e-4b47d978b252 |
| < | NULL            | 23017bf4-950c-446c-9141-77bcf3f45721 |
| > | AB03082         | 23017bf4-950c-446c-9141-77bcf3f45721 |
| < | NULL            | 231494d3-d767-4a2c-b830-f11996c07fc0 |
| > | AB07124         | 231494d3-d767-4a2c-b830-f11996c07fc0 |
| < | NULL            | 233b5b0f-b89a-437b-b26f-81330b179a22 |
| > | ABU0129EDU      | 233b5b0f-b89a-437b-b26f-81330b179a22 |
| < | NULL            | 234037bb-dc2b-45c2-8747-6974532d2ecc |
| > | BH07180         | 234037bb-dc2b-45c2-8747-6974532d2ecc |
| < | NULL            | 236d13b1-6f7e-43e8-b835-8b5d8fe2f38c |
| > | TMP00094        | 236d13b1-6f7e-43e8-b835-8b5d8fe2f38c |
| < | NULL            | 23a59853-1787-4e7b-8d04-2270b92a6e7a |
| > | AB00687SEE      | 23a59853-1787-4e7b-8d04-2270b92a6e7a |
| < | NULL            | 23d7465f-6253-4f0d-b7d6-aa837998c1d1 |
| > | AB00431PIT      | 23d7465f-6253-4f0d-b7d6-aa837998c1d1 |
| < | NULL            | 23fa4081-91a3-40fd-b555-28b5f320009e |
| > | ABU0009SER      | 23fa4081-91a3-40fd-b555-28b5f320009e |
| < | AB10701         | 23fc518a-bdfe-410f-ad75-2c222c45cb72 |
| > |                 | 23fc518a-bdfe-410f-ad75-2c222c45cb72 |
| < | NULL            | 241ed906-44bd-48bd-b953-19fe6db2bf5d |
| > | AB04980HOP      | 241ed906-44bd-48bd-b953-19fe6db2bf5d |
| < | AB00527         | 2490e2b0-83fe-4e12-b640-e535080b10f7 |
| > |                 | 2490e2b0-83fe-4e12-b640-e535080b10f7 |
| < | NULL            | 2645a1df-3091-4c4a-a65c-d0861d99afe4 |
| > | BH09401         | 2645a1df-3091-4c4a-a65c-d0861d99afe4 |
| < | BB00617         | 26d68520-f017-49f1-9bba-010963bb206c |
| > |                 | 26d68520-f017-49f1-9bba-010963bb206c |
| < | NULL            | 26d95d1f-24dd-4fb9-bb5d-a948ba6021c1 |
| > | AB00065STE      | 26d95d1f-24dd-4fb9-bb5d-a948ba6021c1 |
| < | NULL            | 26e6befc-4154-4b2e-b933-eb0f1cdfbb9b |
| > | BH02848         | 26e6befc-4154-4b2e-b933-eb0f1cdfbb9b |
| < | NULL            | 271615e4-d895-4163-b26f-73636c11b5a5 |
| > | AB02596         | 271615e4-d895-4163-b26f-73636c11b5a5 |
| < | AB01023SAE      | 275081b1-04f0-4691-9943-5cf1d084cfac |
| > |                 | 275081b1-04f0-4691-9943-5cf1d084cfac |
| < | NULL            | 27b027ac-428c-414c-a5a0-0890a88d6715 |
| > | SKIP            | 27b027ac-428c-414c-a5a0-0890a88d6715 |
| < | NULL            | 283ca00f-5479-493b-b331-c58bc05a3fb3 |
| > | BHU0004SUF      | 283ca00f-5479-493b-b331-c58bc05a3fb3 |
| < | NULL            | 2853a736-0bbf-4130-9a30-46feb2343344 |
| > | BH09085         | 2853a736-0bbf-4130-9a30-46feb2343344 |
| < | NULL            | 287ceed3-0ee9-457a-90fc-d8378cb7c041 |
| > | AB03082         | 287ceed3-0ee9-457a-90fc-d8378cb7c041 |
| < | NULL            | 29905a86-99fd-4936-b78d-546a1d9722ed |
| > | AB04980HOP      | 29905a86-99fd-4936-b78d-546a1d9722ed |
| < | NULL            | 29c19079-61ba-4eae-a172-2cbcc8b5b627 |
| > | BH08013         | 29c19079-61ba-4eae-a172-2cbcc8b5b627 |
| < | NULL            | 2a1829e8-2f10-4982-a388-f09bcfd42eae |
| > | AB09040         | 2a1829e8-2f10-4982-a388-f09bcfd42eae |
| < | NULL            | 2b18fad2-5a3c-4b93-bc27-f698aef36e6f |
| > | AB03017CAL      | 2b18fad2-5a3c-4b93-bc27-f698aef36e6f |
| < | BH00005ALL      | 2b3cf473-e032-41d2-a35e-043fb95c8c82 |
| > |                 | 2b3cf473-e032-41d2-a35e-043fb95c8c82 |
| < | AB03082         | 2b6549b8-2152-4ae1-bb39-9eab107f7f36 |
| > |                 | 2b6549b8-2152-4ae1-bb39-9eab107f7f36 |
| < | NULL            | 2ba120a7-c8b5-4140-9942-891787dc8908 |
| > | BH08855         | 2ba120a7-c8b5-4140-9942-891787dc8908 |
| < | NULL            | 2bee5b4d-1511-4ee7-8f22-d49222e5e531 |
| > |                 | 2bee5b4d-1511-4ee7-8f22-d49222e5e531 |
| < | BB00560         | 2d297c17-6459-4c78-b5c4-82366736bc37 |
| > |                 | 2d297c17-6459-4c78-b5c4-82366736bc37 |
| < | BH00009GRA      | 2d2de9e4-1678-4378-b400-e97420b1ecbb |
| > |                 | 2d2de9e4-1678-4378-b400-e97420b1ecbb |
| < | BH06026         | 2d31b0b2-1e13-4571-8ca2-133ab93ebe77 |
| > |                 | 2d31b0b2-1e13-4571-8ca2-133ab93ebe77 |
| < | NULL            | 2d36df1d-5e1d-423c-9f16-73fd5be81825 |
| > | BH00238         | 2d36df1d-5e1d-423c-9f16-73fd5be81825 |
| < | NULL            | 2d8e0ad1-52e6-4ebb-9882-44571856d14b |
| > | AB03896MAJ      | 2d8e0ad1-52e6-4ebb-9882-44571856d14b |
| < | NULL            | 2e18bb34-3332-45a8-8ea8-117fe4446a2a |
| > | AB09040         | 2e18bb34-3332-45a8-8ea8-117fe4446a2a |
| < | NULL            | 2e5e0c90-2a44-4138-93b8-54a7d99f54f5 |
| > | BH05768         | 2e5e0c90-2a44-4138-93b8-54a7d99f54f5 |
| < | NULL            | 2e936d5f-4260-4876-ae22-8a694f966d97 |
| > | AB07155WOM      | 2e936d5f-4260-4876-ae22-8a694f966d97 |
| < | BH02022         | 2f6dc188-1a48-4e56-af3b-ce5c35833f49 |
| > |                 | 2f6dc188-1a48-4e56-af3b-ce5c35833f49 |
| < | NULL            | 3038ecbd-8fb0-4cb1-97e2-c261e2dca0a8 |
| > | NEW_TRANSLATION | 3038ecbd-8fb0-4cb1-97e2-c261e2dca0a8 |
| < | NULL            | 308b8d73-479e-4c0e-bccf-887c1d29bbb0 |
| > | AB00362LOV      | 308b8d73-479e-4c0e-bccf-887c1d29bbb0 |
| < | BH03908         | 30b347a0-b6e0-4539-8c75-e831a6f76905 |
| > |                 | 30b347a0-b6e0-4539-8c75-e831a6f76905 |
| < | AB00362LOV      | 311883b2-17d2-44d5-9bfd-5e518621b886 |
| > |                 | 311883b2-17d2-44d5-9bfd-5e518621b886 |
| < | BH00074BLE      | 320485db-7f20-45a1-8209-8298631ba7b5 |
| > |                 | 320485db-7f20-45a1-8209-8298631ba7b5 |
| < | AB09794CHI      | 3211593d-b7ff-42b3-8917-6ee658397798 |
| > |                 | 3211593d-b7ff-42b3-8917-6ee658397798 |
| < | NULL            | 322deb0d-ea38-4b21-bf02-9e57a5e996fe |
| > | BH05894         | 322deb0d-ea38-4b21-bf02-9e57a5e996fe |
| < | NULL            | 327833b5-0f9b-40bf-84ae-99fff9cbc6c0 |
| > | BH08013         | 327833b5-0f9b-40bf-84ae-99fff9cbc6c0 |
| < | BH03447         | 32d4722d-6fb5-4ad6-872b-69853f93a26b |
| > |                 | 32d4722d-6fb5-4ad6-872b-69853f93a26b |
| < | NULL            | 33c210aa-a497-4f37-b2b0-555bafdc796d |
| > | BH08363         | 33c210aa-a497-4f37-b2b0-555bafdc796d |
| < | AB03082         | 34e35c68-076c-41b6-85a6-60cc46fd3885 |
| > |                 | 34e35c68-076c-41b6-85a6-60cc46fd3885 |
| < | NULL            | 3509cd25-a4e6-4a23-8ca9-87f72f302f4f |
| > | BH09401         | 3509cd25-a4e6-4a23-8ca9-87f72f302f4f |
| < | NULL            | 35627a76-d5d6-4340-95b6-298095373976 |
| > | BH10688         | 35627a76-d5d6-4340-95b6-298095373976 |
| < | NULL            | 360875ec-4d7a-4163-b755-44d3a1cf0a68 |
| > | BH03181         | 360875ec-4d7a-4163-b755-44d3a1cf0a68 |
| < | NULL            | 36856d08-049a-4df8-af95-cf912003f145 |
| > | BH10127         | 36856d08-049a-4df8-af95-cf912003f145 |
| < | NULL            | 37a225cb-f0d2-4f21-94e6-a0861c61eecc |
| > | BH09401         | 37a225cb-f0d2-4f21-94e6-a0861c61eecc |
| < | NULL            | 388acdff-3f3e-4e1f-b841-da6182c9cdaa |
| > | AB00169BEH      | 388acdff-3f3e-4e1f-b841-da6182c9cdaa |
| < | NULL            | 38dacaf2-c829-45d9-b28c-cf472571b957 |
| > | BH03447         | 38dacaf2-c829-45d9-b28c-cf472571b957 |
| < | NULL            | 38df8f24-5815-4421-88be-4941bed66801 |
| > | BH05071         | 38df8f24-5815-4421-88be-4941bed66801 |
| < | NULL            | 39f1e08b-7237-4ce4-98c5-7901c72e8dc7 |
| > | AB02342AWA      | 39f1e08b-7237-4ce4-98c5-7901c72e8dc7 |
| < | NULL            | 3a1c1dcc-eafe-4b82-b25b-c0eb68a9c744 |
| > | BH10076         | 3a1c1dcc-eafe-4b82-b25b-c0eb68a9c744 |
| < | AB00001FIR      | 3a40f5b5-a6fc-4194-a0f0-822a14a4f529 |
| > |                 | 3a40f5b5-a6fc-4194-a0f0-822a14a4f529 |
| < | NULL            | 3a5562d6-ec78-4dba-baab-45dfbc564e1f |
| > | AB07155WOM      | 3a5562d6-ec78-4dba-baab-45dfbc564e1f |
| < | BH04569         | 3abc3395-5b2a-435e-bcfb-7916074c3129 |
| > |                 | 3abc3395-5b2a-435e-bcfb-7916074c3129 |
| < | NULL            | 3bf15b88-8125-44de-b137-cde0a6676f2e |
| > | BH08855         | 3bf15b88-8125-44de-b137-cde0a6676f2e |
| < | NULL            | 3c068a2a-f83b-4af4-995b-3b46d8cc0967 |
| > | BH02524         | 3c068a2a-f83b-4af4-995b-3b46d8cc0967 |
| < | NULL            | 3cbadadd-b8b2-463c-b45a-b48cd5c6ea61 |
| > | BH10973         | 3cbadadd-b8b2-463c-b45a-b48cd5c6ea61 |
| < | NULL            | 3cf64491-99bb-422c-a680-72ab101ce222 |
| > | BB00018FOR      | 3cf64491-99bb-422c-a680-72ab101ce222 |
| < | NULL            | 3d6ad39a-a421-4322-95af-79e22e83a81f |
| > | BB00623         | 3d6ad39a-a421-4322-95af-79e22e83a81f |
| < | NULL            | 3f3ba871-30b2-42fe-969c-12d71c7a8375 |
| > | AB06528MID      | 3f3ba871-30b2-42fe-969c-12d71c7a8375 |
| < | NULL            | 3f93924b-7055-415f-8b61-fa309c103850 |
| > | BH07683         | 3f93924b-7055-415f-8b61-fa309c103850 |
| < | NULL            | 3fa26155-7113-44b4-bd50-ef63a0209296 |
| > | BH00438         | 3fa26155-7113-44b4-bd50-ef63a0209296 |
| < | NULL            | 4193be28-7c67-415a-9f1a-0c32d53a97d2 |
| > | AB04620         | 4193be28-7c67-415a-9f1a-0c32d53a97d2 |
| < | NULL            | 4216cc44-a493-4601-b15b-d2614c21178e |
| > | AB00094WEA      | 4216cc44-a493-4601-b15b-d2614c21178e |
| < | NULL            | 4296f95c-f59a-4c04-a011-fb45e0770643 |
| > |                 | 4296f95c-f59a-4c04-a011-fb45e0770643 |
| < | NULL            | 43d74643-1007-4d5e-bcaf-fb220f78e1ec |
| > | BH00005ATT      | 43d74643-1007-4d5e-bcaf-fb220f78e1ec |
| < | NULL            | 4455a11d-fd37-4d4e-9fde-e8fd04454852 |
| > | AB00362LOV      | 4455a11d-fd37-4d4e-9fde-e8fd04454852 |
| < | NULL            | 44be10a9-5d90-49cf-b6ee-b69c3ae2478d |
| > | BH00009SER      | 44be10a9-5d90-49cf-b6ee-b69c3ae2478d |
| < | BH07180         | 453fcfe4-4c23-4af3-a814-e4ebc202f021 |
| > |                 | 453fcfe4-4c23-4af3-a814-e4ebc202f021 |
| < | NULL            | 45887078-a77f-4a58-9519-ec7e197fb9ce |
| > | ABU0129EDU      | 45887078-a77f-4a58-9519-ec7e197fb9ce |
| < | AB00001FIR      | 45dee490-c8f5-4ea5-990d-14b837b53718 |
| > |                 | 45dee490-c8f5-4ea5-990d-14b837b53718 |
| < | NULL            | 45e00006-6fec-4e91-9015-35bbb158cdd0 |
| > | BH05801         | 45e00006-6fec-4e91-9015-35bbb158cdd0 |
| < | NULL            | 45f02c52-8521-4906-858b-29c4d9287b82 |
| > | AB03896MAJ      | 45f02c52-8521-4906-858b-29c4d9287b82 |
| < | NULL            | 46a339b0-4473-4100-8841-74670dab3887 |
| > | AB10275         | 46a339b0-4473-4100-8841-74670dab3887 |
| < | NULL            | 47254fd8-6990-412c-8fea-f167e5fbc93e |
| > | ABU0188TUR      | 47254fd8-6990-412c-8fea-f167e5fbc93e |
| < | NULL            | 4734be70-869a-4c52-9c1e-8a00727e310d |
| > | TMP00005        | 4734be70-869a-4c52-9c1e-8a00727e310d |
| < | NULL            | 47af1d79-0ddd-4fa6-9c0f-47819744a94a |
| > | SKIP            | 47af1d79-0ddd-4fa6-9c0f-47819744a94a |
| < | NULL            | 47b3d4cc-d91c-48a8-8583-77821c3d10e9 |
| > | AB07709CON      | 47b3d4cc-d91c-48a8-8583-77821c3d10e9 |
| < | NULL            | 47dbc9f7-6514-49f1-8a7b-773b1b80a51f |
| > | BH10505         | 47dbc9f7-6514-49f1-8a7b-773b1b80a51f |
| < | NULL            | 48dff6d7-d761-404d-b8aa-761faacd7eb9 |
| > | BH09401         | 48dff6d7-d761-404d-b8aa-761faacd7eb9 |
| < | NULL            | 48e3a988-dbc4-4875-a981-33f5af24dbbc |
| > | ABU0070GAT      | 48e3a988-dbc4-4875-a981-33f5af24dbbc |
| < | NULL            | 49b0b666-c75b-4765-8939-fb3b32f65cc0 |
| > | BH03629GRI      | 49b0b666-c75b-4765-8939-fb3b32f65cc0 |
| < | NULL            | 49efeec0-b88b-4098-9e08-40c7bf7d5297 |
| > |                 | 49efeec0-b88b-4098-9e08-40c7bf7d5297 |
| < | NULL            | 4a587000-b9ff-4bb5-a9c1-6a8e2f9d2ebc |
| > | BH08242         | 4a587000-b9ff-4bb5-a9c1-6a8e2f9d2ebc |
| < | NULL            | 4a89c05b-6f5e-4332-9f18-9f72eeb21ad8 |
| > | BH10076         | 4a89c05b-6f5e-4332-9f18-9f72eeb21ad8 |
| < | NULL            | 4adbe47f-0aa0-4d34-9cd8-b99508d50fe4 |
| > | BH07180         | 4adbe47f-0aa0-4d34-9cd8-b99508d50fe4 |
| < | NULL            | 4b4bbe18-91dd-4a61-b549-ed72208f1989 |
| > | TMP00095        | 4b4bbe18-91dd-4a61-b549-ed72208f1989 |
| < | NULL            | 4cc1dd2b-b21e-47d1-baa2-6bd7086da452 |
| > | BH07426FOO      | 4cc1dd2b-b21e-47d1-baa2-6bd7086da452 |
| < | NULL            | 4d01619b-fe10-4c49-b567-abd767ec62d2 |
| > | AB04004BAB      | 4d01619b-fe10-4c49-b567-abd767ec62d2 |
| < | NULL            | 4d0753d1-4dc3-41e5-8de9-5e27e9c33cb5 |
| > | AB00218SOU      | 4d0753d1-4dc3-41e5-8de9-5e27e9c33cb5 |
| < | NULL            | 4d86c5d7-9511-48f4-947d-e6f814a8367b |
| > | AB00553         | 4d86c5d7-9511-48f4-947d-e6f814a8367b |
| < | NULL            | 4dbbcee5-6bf0-4b3d-a148-36d51074ca81 |
| > | BH01125         | 4dbbcee5-6bf0-4b3d-a148-36d51074ca81 |
| < | NULL            | 4dd20eff-13dc-4010-b96e-6b79371e2d6a |
